Volcano_Number,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type
261130,Talakmau,Complex,Indonesia,Sunda-Banda Volcanic Regions,0.0790,99.9800,2919,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
261140,Marapi,Complex,Indonesia,Sunda-Banda Volcanic Regions,-0.3800,100.4740,2885,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261150,Tandikat-Singgalang,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-0.3900,100.3310,2854,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261160,Talang,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-0.9790,100.6810,2575,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261170,Kerinci,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-1.6970,101.2640,3800,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261180,Sumbing,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-2.4140,101.7280,2507,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261200,Hululais,Compound,Indonesia,Sunda-Banda Volcanic Regions,-3.2470,102.2390,2122,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Basalt / Picro-Basalt
261210,"Daun, Bukit",Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-3.3800,102.3700,2467,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Basalt / Picro-Basalt
261220,Kaba,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-3.5220,102.6150,1940,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261231,Patah,Stratovolcano?,Indonesia,Sunda-Banda Volcanic Regions,-4.2570,103.3060,2836,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,No Data (checked)
261230,Dempo,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-4.0160,103.1210,3142,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
261251,Ranau,Caldera,Indonesia,Sunda-Banda Volcanic Regions,-4.8710,103.9250,1854,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Dacite
261270,Suoh,Caldera(s),Indonesia,Sunda-Banda Volcanic Regions,-5.2500,104.2700,1000,Subduction zone / Continental crust (> 25 km),Eruption Observed,No Data (checked)
261290,Rajabasa,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-5.7800,105.6250,1281,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
262000,Krakatau,Caldera,Indonesia,Sunda-Banda Volcanic Regions,-6.1009,105.4233,285,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263010,Pulosari,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.3430,105.9780,1324,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263020,Karang,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.2680,106.0500,1768,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Andesite / Basaltic Andesite
263040,Perbakti-Gagak,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-6.7500,106.6750,1726,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263050,Salak,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.7160,106.7330,2218,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263060,Gede-Pangrango,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-6.7860,106.9830,3026,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263070,Patuha,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.1620,107.4000,2422,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263090,Tangkuban Parahu,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.7700,107.6000,2084,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263100,Papandayan,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-7.3200,107.7300,2665,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263110,Kendang,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.2450,107.7090,2594,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263131,Tampomas,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.7639,107.9612,1690,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263130,Guntur,Complex,Indonesia,Sunda-Banda Volcanic Regions,-7.1430,107.8410,2251,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263140,Galunggung,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.2500,108.0580,2168,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
263150,Talagabodas,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.2080,108.0700,2201,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Basalt / Picro-Basalt
263170,Ciremai,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.8950,108.4080,3039,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263180,Slamet,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.2420,109.2080,3428,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
263200,Dieng Volcanic Complex,Complex,Indonesia,Sunda-Banda Volcanic Regions,-7.2000,109.8790,2565,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263210,Sundoro,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.3020,109.9960,3147,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263220,Sumbing,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.3840,110.0700,3371,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263231,Telomoyo,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.3620,110.4000,1864,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263230,Ungaran,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.1876,110.3455,2033,Subduction zone / Continental crust (> 25 km),Evidence Credible,Trachyandesite / Basaltic Trachyandesite
263240,Merbabu,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.4540,110.4400,3118,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
263250,Merapi,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.5400,110.4460,2910,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263260,Lawu,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.6250,111.1920,3265,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263270,Wilis,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.8080,111.7580,2563,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263281,Kawi-Butak,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-7.9200,112.4500,2651,Subduction zone / Continental crust (> 25 km),Evidence Credible,No Data (checked)
263280,Kelud,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.9350,112.3140,1730,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263291,Penanggungan,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.6160,112.6200,1631,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263290,Arjuno-Welirang,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.7330,112.5750,3343,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263300,Semeru,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.1080,112.9220,3657,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263310,Tengger Caldera,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-7.9420,112.9500,2329,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite
263320,Lamongan,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.9810,113.3410,1641,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
263330,Iyang-Argapura,Complex,Indonesia,Sunda-Banda Volcanic Regions,-7.9700,113.5700,3088,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
263340,Raung,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.1190,114.0560,3260,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
263351,Baluran,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.8500,114.3700,1247,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Andesite / Basaltic Andesite
263350,Ijen,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-8.0580,114.2420,2769,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
264001,Buyan-Bratan,Caldera,Indonesia,Sunda-Banda Volcanic Regions,-8.2830,115.1330,2244,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
264010,Batur,Caldera,Indonesia,Sunda-Banda Volcanic Regions,-8.2403,115.3775,1711,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
264020,Agung,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.3430,115.5080,2997,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
264030,Rinjani,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.4200,116.4700,3726,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
264040,Tambora,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.2500,118.0000,2850,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
264050,Sangeang Api,Complex,Indonesia,Sunda-Banda Volcanic Regions,-8.2000,119.0700,1912,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
264060,"Sano, Wai",Caldera,Indonesia,Sunda-Banda Volcanic Regions,-8.7345,120.0074,1319,Subduction zone / Continental crust (> 25 km),Evidence Credible,Dacite
264071,Ranakah,Lava dome(s),Indonesia,Sunda-Banda Volcanic Regions,-8.6370,120.5302,2288,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
264080,Inierie,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.8750,120.9500,2245,Subduction zone / Crustal thickness unknown,Eruption Dated,Andesite / Basaltic Andesite
264090,Inielika,Complex,Indonesia,Sunda-Banda Volcanic Regions,-8.7300,120.9800,1559,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264100,Ebulobo,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.8170,121.1910,2096,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264110,Iya,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.8910,121.6410,618,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt
264140,Kelimutu,Complex,Indonesia,Sunda-Banda Volcanic Regions,-8.7700,121.8200,1639,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264150,Paluweh,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.3200,121.7080,875,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264160,Egon,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.6760,122.4550,1661,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264180,Lewotobi,Stratovolcano(es),Indonesia,Sunda-Banda Volcanic Regions,-8.5420,122.7750,1703,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264200,Leroboleng,Complex,Indonesia,Sunda-Banda Volcanic Regions,-8.3650,122.8330,1095,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264220,Iliboleng,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.3420,123.2580,1659,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt
264230,Lewotolok,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.2740,123.5080,1431,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
264240,Ililabalekan,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-8.5500,123.3800,1018,Subduction zone / Crustal thickness unknown,Unrest / Holocene,Basalt / Picro-Basalt
264250,Iliwerung,Complex,Indonesia,Sunda-Banda Volcanic Regions,-8.5320,123.5730,583,Subduction zone / Crustal thickness unknown,Eruption Observed,Basalt / Picro-Basalt
264260,"Tara, Batu",Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.7910,123.5850,633,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Trachybasalt / Tephrite Basanite
264270,Sirung,Complex,Indonesia,Sunda-Banda Volcanic Regions,-8.4972,124.1306,1347,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
265040,Wurlali,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-7.1250,128.6750,868,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
265050,Teon,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.9760,129.1440,728,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
265060,Nila,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.7300,129.5000,781,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
265070,Serua,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-6.3120,130.0170,608,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
265080,Manuk,Stratovolcano,Indonesia,Sunda-Banda Volcanic Regions,-5.5430,130.3030,257,Subduction zone / Oceanic crust (< 15 km),Unrest / Holocene,Andesite / Basaltic Andesite
265090,Banda Api,Caldera,Indonesia,Sunda-Banda Volcanic Regions,-4.5230,129.8810,596,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Dacite
266010,Colo,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,-0.1620,121.6010,404,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite
266020,Ambang,Complex,Indonesia,Western Pacific Volcanic Regions,0.7500,124.4200,1795,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
266030,Soputan,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.1120,124.7370,1785,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
266100,Lokon-Empung,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,1.3580,124.7920,1580,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
266110,Mahawu,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.3520,124.8650,1299,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
266120,Klabat,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.4540,125.0310,1968,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
266130,Tangkoko-Duasudara,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.5180,125.1850,1334,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
267010,Ruang,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,2.3000,125.3700,725,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
267020,Karangetang,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,2.7810,125.4070,1797,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
267030,Banua Wuhu,Complex,Indonesia,Western Pacific Volcanic Regions,3.1380,125.4910,-5,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
267040,Awu,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,3.6890,125.4470,1318,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
268001,Tarakan,Pyroclastic cone(s),Indonesia,Western Pacific Volcanic Regions,1.8320,127.8250,317,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt
268010,Dukono,Complex,Indonesia,Western Pacific Volcanic Regions,1.6992,127.8783,1273,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
268020,Tobaru,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.6300,127.6700,1035,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268030,Ibu,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.4880,127.6300,1325,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
268040,Gamkonora,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.3800,127.5300,1635,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
268051,Jailolo,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,1.0800,127.4390,993,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268052,Hiri,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,0.9000,127.3200,630,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Basalt / Picro-Basalt
268050,Todoko-Ranu,Caldera(s),Indonesia,Western Pacific Volcanic Regions,1.2389,127.4556,979,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268061,Kie Matubu,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,0.6623,127.4029,1713,Subduction zone / Oceanic crust (< 15 km),Eruption Dated,Andesite / Basaltic Andesite
268062,Mare,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,0.5700,127.4000,308,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268063,Moti,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,0.4540,127.4110,927,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268060,Gamalama,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,0.8100,127.3322,1714,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
268071,Tigalalu,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,0.0700,127.4200,422,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268072,Amasing,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,-0.5249,127.4956,1006,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268073,Bibinoi,Stratovolcano(es),Indonesia,Western Pacific Volcanic Regions,-0.7610,127.7250,932,Subduction zone / Oceanic crust (< 15 km),Evidence Credible,Andesite / Basaltic Andesite
268070,Kie Besi,Stratovolcano,Indonesia,Western Pacific Volcanic Regions,0.3200,127.4000,1357,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Andesite / Basaltic Andesite
271011,Melebingoy,Stratovolcano,Philippines,Western Pacific Volcanic Regions,6.1130,124.8920,1824,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
271010,Balut,Stratovolcano,Philippines,Western Pacific Volcanic Regions,5.3980,125.3760,840,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
271020,Matutum,Stratovolcano,Philippines,Western Pacific Volcanic Regions,6.3604,125.0765,2262,Subduction zone / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
271031,Leonard Range,Stratovolcano,Philippines,Western Pacific Volcanic Regions,7.3820,126.0470,1080,Subduction zone / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
271030,Apo,Stratovolcano,Philippines,Western Pacific Volcanic Regions,6.9890,125.2690,2938,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
271040,Makaturing,Stratovolcano,Philippines,Western Pacific Volcanic Regions,7.6440,124.3170,1818,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
271061,Kalatungan,Stratovolcano,Philippines,Western Pacific Volcanic Regions,7.9500,124.8000,2824,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Basalt / Picro-Basalt
271060,Ragang,Stratovolcano,Philippines,Western Pacific Volcanic Regions,7.6910,124.5070,2790,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
271071,Malindang,Stratovolcano,Philippines,Western Pacific Volcanic Regions,8.2200,123.6300,2404,Subduction zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
271070,Musuan,Lava dome,Philippines,Western Pacific Volcanic Regions,7.8765,125.0697,610,Subduction zone / Continental crust (> 25 km),Evidence Uncertain,Andesite / Basaltic Andesite
271080,Camiguin,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,9.2030,124.6730,1552,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
272020,Kanlaon,Stratovolcano,Philippines,Western Pacific Volcanic Regions,10.4096,123.1300,2422,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
272050,CabalÃ­an,Stratovolcano,Philippines,Western Pacific Volcanic Regions,10.2850,125.2180,912,Subduction zone / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
272080,Biliran,Compound,Philippines,Western Pacific Volcanic Regions,11.5230,124.5350,1301,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
273010,Bulusan,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,12.7690,124.0560,1535,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
273020,Pocdol Mountains,Compound,Philippines,Western Pacific Volcanic Regions,13.0500,123.9580,1102,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
273031,Masaraga,Stratovolcano,Philippines,Western Pacific Volcanic Regions,13.3099,123.5978,1294,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
273030,Mayon,Stratovolcano,Philippines,Western Pacific Volcanic Regions,13.2570,123.6850,2462,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
273041,Iriga,Stratovolcano,Philippines,Western Pacific Volcanic Regions,13.4580,123.4510,1138,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
273042,Isarog,Stratovolcano,Philippines,Western Pacific Volcanic Regions,13.6580,123.3800,1966,Subduction zone / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
273044,Malindig,Stratovolcano,Philippines,Western Pacific Volcanic Regions,13.2400,122.0180,1157,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
273050,Banahaw,Complex,Philippines,Western Pacific Volcanic Regions,14.0700,121.4800,2158,Subduction zone / Continental crust (> 25 km),Evidence Credible,Andesite / Basaltic Andesite
273060,San Pablo Volcanic Field,Volcanic field,Philippines,Western Pacific Volcanic Regions,14.1200,121.3000,1090,Subduction zone / Continental crust (> 25 km),Eruption Dated,Trachyandesite / Basaltic Trachyandesite
273070,Taal,Caldera,Philippines,Western Pacific Volcanic Regions,14.0106,120.9975,311,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
273083,Pinatubo,Stratovolcano,Philippines,Western Pacific Volcanic Regions,15.1300,120.3500,1486,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite
273087,Patoc,Stratovolcano,Philippines,Western Pacific Volcanic Regions,17.1470,120.9800,1865,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
273088,Ambalatungan Group,Compound,Philippines,Western Pacific Volcanic Regions,17.3200,121.1000,2329,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Dacite
273080,Laguna Caldera,Caldera,Philippines,Western Pacific Volcanic Regions,14.4200,121.2700,743,Subduction zone / Continental crust (> 25 km),Unrest / Holocene,Andesite / Basaltic Andesite
273090,Cagua,Stratovolcano,Philippines,Western Pacific Volcanic Regions,18.2220,122.1230,1133,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
274010,Camiguin de Babuyanes,Stratovolcano,Philippines,Western Pacific Volcanic Regions,18.8300,121.8600,712,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
274020,Didicas,Compound,Philippines,Western Pacific Volcanic Regions,19.0770,122.2020,228,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
274030,Babuyan Claro,Stratovolcano(es),Philippines,Western Pacific Volcanic Regions,19.5240,121.9500,1064,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
274060,Iraya,Stratovolcano,Philippines,Western Pacific Volcanic Regions,20.4690,122.0100,1009,Subduction zone / Crustal thickness unknown,Eruption Observed,Andesite / Basaltic Andesite
275001,Hainan Volcanic Field,Volcanic field,China,Eastern Asia Volcanic Regions,19.9050,110.2290,196,Intraplate / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
275020,Ly Son Group,Volcanic field,Vietnam,Eastern Asia Volcanic Regions,15.3800,109.1200,157,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
275060,"Cendres, Ile des",Volcanic field,Vietnam,Eastern Asia Volcanic Regions,10.1580,109.0140,-20,Intraplate / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
275080,Popa,Stratovolcano,Burma (Myanmar),Eastern Asia Volcanic Regions,20.9200,95.2500,1518,Intraplate / Continental crust (> 25 km),Eruption Dated,Basalt / Picro-Basalt
275110,Tengchong,Volcanic field,China,Eastern Asia Volcanic Regions,25.2300,98.5000,2865,Intraplate / Continental crust (> 25 km),Eruption Dated,Basalt / Picro-Basalt
281031,Kueishantao,Stratovolcano,Taiwan,Western Pacific Volcanic Regions,24.8410,121.9530,361,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite
281032,Tatun Volcanic Group,Lava dome(s),Taiwan,Western Pacific Volcanic Regions,25.1780,121.5530,1120,Subduction zone / Continental crust (> 25 km),Eruption Dated,Andesite / Basaltic Andesite
282010,Submarine Volcano NNE of Iriomotejima,Stratovolcano,Japan,Western Pacific Volcanic Regions,24.5700,123.9300,-200,Subduction zone / Oceanic crust (< 15 km),Eruption Observed,Rhyolite
